CEEB,College Name,City,State
INTL,UNIVERSITY OF DUNDEE,DUNDEE,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF GLASGOW,GLASGOW,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF SAINT ANDREWS,ST ANDREWS,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF STRATHCLYDE,GLASGOW,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,ROYAL HOLLOWAY UNIV OF LONDON,EGHAM SURREY,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,BANGOR UNIVERSITY,BANGOR WAL,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIV OF SOUTH WALES-TREFOREST,PONTYPRIDD WALES,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,ASTON UNIVERSITY,BIRMINGHAM,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,ABERSTWYTH UNIVERSITY,ABERSTWYTH,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,ANGLIA RUSKIN UNIVERSITY,CHELMSFORD,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,BATH SPA UNIVERSITY,SOMERSET,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,LUMSA UNIVERSITY-ROME,ROME,ITALY
INTL,POLITECNICO DI TORINO,TORINO,ITALY
INTL,UNIVERSITA NAPOLI FEDERICO II,NAPOLI,ITALY
INTL,UNIVERSITY OF BOLOGNA,BOLOGNA,ITALY
INTL,UNIVERSITY OF SALERNO,FISCIANO,ITALY
INTL,UNIVERSITY OF SANNIO,BENEVENTO,ITALY
INTL,HOKKAIDO UNIVERSITY,SAPPORO,JAPAN
INTL,INTL CHRISTIAN UNIV,MITAKA-SHI TOKYO,JAPAN
INTL,TOKYO INSTITUTE OF TECHNOLOGY,TOKYO,JAPAN
INTL,AOYAMA GAKUIN UNIVERSITY,TOKYO,JAPAN
INTL,HOSEI UNIVERSITY,TOKYO,JAPAN
INTL,INSTITUTE LIBERAL ARTS DOSHISH,KYOTO,JAPAN
INTL,KEIO UNIVERSITY,TOKYO,JAPAN
INTL,KYOTO UNIV OF ADVANCED SCIENCE,KYOTO,JAPAN
INTL,KYOTO UNIVERSITY,KYOTO,JAPAN
INTL,MEIJI UNIVERSITY,TOKYO,JAPAN
INTL,NAGOYA UNIV COMMERCE BUSINESS,NISSHIN AICHI,JAPAN
INTL,NAGOYA UNIVERSITY,NAGOYA,JAPAN
INTL,NIHON UNIVERSITY,CHIYODA-KU TOKYO,JAPAN
INTL,OSAKA UNIV SCH HUMAN SCIENCE,SUITA,JAPAN
INTL,OSAKA UNIVERSITY-IUSP,TOYONAKA OSAKA,JAPAN
INTL,RITSUMEIKAN ASIA PACIFIC UNIV,BEPPU,JAPAN
INTL,SOPHIA UNIVERSITY,TOKYO,JAPAN
INTL,TEMPLE UNIVERSITY JAPAN CAMPUS,TOKYO,JAPAN
INTL,TOHOKU UNIV FGL PROGRAM,SENDAI,JAPAN
INTL,TOKYO CHRISTIAN UNIVERSITY,CHIBA,JAPAN
INTL,TOKYO INTERNATIONAL UNIVERSITY,TOKYO,JAPAN
INTL,TOKYO METROPOLITAN UNIVERSITY,TOKYO,JAPAN
INTL,UNIV TOKYO-PEAK UNDERGRADUATE,TOKYO,JAPAN
INTL,UNIVERSITY OF TOKYO,BUNKYO-KU,JAPAN
INTL,WASEDA UNIVERSITY,TOKYO,JAPAN
INTL,YAMANASHI GAKUIN UNIVERSITY,YAMANASHI,JAPAN
INTL,AMERICAN UNIV OF CENTRAL ASIA,BISHKEK,KYRGYZSTAN
INTL,DAEGU GYEONGBUK INST SCI TECH,DAEGU,SOUTH KOREA
INTL,EWHA WOMANS UNIVERSITY,SEOUL,SOUTH KOREA
INTL,HANDONG GLOBAL UNIVERSITY,KYEONGBUK,SOUTH KOREA
INTL,KAIST,DAEJEON,SOUTH KOREA
INTL,KOREA UNIVERSITY,SEOUL,SOUTH KOREA
INTL,SEOUL NATIONAL UNIVERSITY,SEOUL,SOUTH KOREA
INTL,SUNY KOREA,INCHEON,SOUTH KOREA
INTL,YONSEI UNIVERSITY,SEOUL,SOUTH KOREA
INTL,NAZARBAYEV UNIVERSTIY,ASTANA,KAZAKHSTAN
INTL,INTERNATIONAL UNIV OF MONACO,MONTE CARLO,MONACO
INTL,AFRICAN LEADERSHIP UNIVERSITY,PIERREFONDS,MAURITIUS
INTL,TEC DE MONTERREY,MONTERREY,MEXICO
INTL,UNIV OF THE AMERICAS,PUEBLA,MEXICO
INTL,AVE MARIA UN-LATIN AMERICAN,SAN MARCOS,NICARAGUA
INTL,ERASMUS UNIVERSITY COLLEGE,ROTTERDAM,NETHERLANDS
INTL,WEBSTER UNIV-THE NETHERLANDS,LEIDEN,NETHERLANDS
INTL,AUCKLAND UNIV OF TECHNOLOGY,AUCKLAND,NEW ZEALAND
INTL,LAHORE UNIV OF MGMT SERVICES,LAHORE CANTT,PAKISTAN
INTL,POZNAN UNIV OF MEDICAL SCIENCE,POZNAN,POLAND
INTL,HAMAD BIN KHALIFA UNIV,EDUCATION CITY,QATAR
INTL,WEILL CORNELL MEDICINE QATAR,DOHA,QATAR
INTL,CARNEGIE MELLON UNIV QATAR,DOHA,QATAR
INTL,GEORGETOWN U-QATAR,DOHA,QATAR
INTL,RIT KOSOVO,PRISHTINE,SERBIA
INTL,STOCKHOLM SCHOOL OF ECONOMICS,STOCKHOLM,SWEDEN
INTL,SINGAPORE MGMT UNIV,SINGAPORE,SINGAPORE
INTL,NATIONAL U SINGAPORE,SINGAPORE,SINGAPORE
INTL,YALE NUS COLLEGE,SINGAPORE,SINGAPORE
INTL,SINGAPORE UNIV OF TECH DESIGN,SINGAPORE,SINGAPORE
INTL,ASIAN INSTITUTE OF TECHNOLOGY,KLONG LUANG,THAILAND
INTL,UNIV THAI CHAMBER OF COMMERCE,BANGKOK,THAILAND
INTL,WEBSTER UNIV-THAILAND,BANGKOK,THAILAND
INTL,BBA INTL PRGM/THAMMASAT UNIV,BANGKOK,THAILAND
INTL,BE INTL PRGM THAMMASAT UNIV,BANGKOK,THAILAND
INTL,MAHIDOL UNIV INTL COLLEGE,SALAYA,THAILAND
INTL,ABDULLAH GUL UNIVERSITY,KAYSERI,TURKEY
INTL,CARIBBEAN UNION COLL,TRINIDAD,TRINIDAD AND TOBAGO
INTL,CONG DIST-VI-S PLASKETT,FREDERIKSTED,U.S. VIRGIN ISLANDS
INTL,NATIONAL ECONOMIC UNIVERSITY,HA NOI,VIETNAM
INTL,HANOI UNIV SCIENCE AND TECH,HANOI,VIETNAM
INTL,RADEWAGEN AMATA DEL AM SAMOA,FAGATOGO,SAMOA
INTL,NORTH-WEST UNIVERSITY,POTCHEFSTROOM,SOUTH AFRICA
